crop_year,season_names,crop_names,area,temperature,wind_speed,pressure,humidity,soil_type,N,P,K,production
1997,Autumn     ,Maize,1.0,20.770894327714288,2.0682599613325947,1014.8637959035344,21.94714705913348,loamy,56.07,0.0,0.0,1113.0
1997,Kharif     ,Arhar/Tur,17600.0,20.1604258915886,1.9764799324375488,1015.1935275464764,20.64323693720587,sandy,9.0,9.0,0.0,6300.0
1997,Kharif     ,Bajra,274100.0,21.99829859717905,2.0005242602353746,1014.1846071220664,21.422312371835023,clay,0.0,0.0,0.0,152800.0
1997,Kharif     ,Gram,40800.0,21.776376624873148,2.0197497848360184,1015.0531183898158,21.810567239939783,chalky,38.25,38.25,38.25,18600.0
1997,Kharif     ,Jowar,900.0,20.0757336132436,1.974350686396939,1015.1702377521646,21.93020581768623,clay,0.0,23.184,0.0,1100.0
1997,Kharif     ,Maize,4400.0,21.642354457560398,2.0750656246889805,1015.7024823968762,21.57140299970625,sandy,5.64,14.664,14.664,4700.0
1997,Kharif     ,Moong(Green Gram),10200.0,21.199658310936755,2.0795519284043174,1013.8658619733956,20.83372484571084,peaty,41.7,111.2,55.6,900.0
1997,Kharif     ,Pulses total,451.0,21.366850540417992,2.078574323148445,1013.0514545568648,20.08436092944477,silty,7.476,7.476,0.0,130.0
1997,Kharif     ,Ragi,2600.0,21.87754219644463,2.0541992694218933,1014.9825416763426,21.64336323016081,silty,2.1,5.25,2.1,2100.0
1997,Kharif     ,Rice,5900.0,21.629675989313533,2.107639236138122,1014.724315150998,20.920125741346013,chalky,0.0,0.0,0.0,7200.0
1997,Kharif     ,Sugarcane,45900.0,20.66483198337277,2.107465936925857,1013.164054226474,21.305363335276944,sandy,3.392,4.24,0.0,38940.0
1997,Kharif     ,Total foodgrain,3384.0,21.359742262775725,2.015673188875021,1014.1087970831886,20.17698696298257,silt,2.8,0.0,0.0,1836.0
1997,Kharif     ,Urad,1600.0,20.748237177436,2.035531337834056,1013.022821583441,21.79448250722055,chalky,2.898,2.898,0.0,800.0
1997,Rabi       ,Jowar,598400.0,22.04171458178519,1.9875258648651084,1015.3319117180004,20.34949168543552,silt,0.0,0.0,0.0,217000.0
1997,Rabi       ,Maize,6200.0,21.96825261400342,1.9817659806253825,1014.0620031192152,20.638894168482597,silty,901.37,0.0,0.0,9100.0
1997,Rabi       ,Other  Rabi pulses,60.0,20.88314114380765,2.0327538119928503,1014.9996263465156,20.2759098812953,chalky,7.704,19.688,0.0,3.0
1997,Rabi       ,Wheat,79700.0,20.96546174984075,2.0799573051976528,1015.5867012489996,21.48402630334617,loamy,50.568,0.0,0.0,87100.0
1997,Summer     ,Maize,1100.0,21.75476209524235,2.108655048991076,1014.5039572741526,20.624977338876462,clay,8.22,8.22,0.0,1900.0
1997,Whole Year ,Cotton(lint),98.0,20.93328468733763,2.01136664163891,1015.4061961254394,20.815298725074623,loamy,0.465,0.465,0.465,17900.0
1998,Kharif     ,Arhar/Tur,18800.0,20.69289748695272,2.087617873892397,1014.7398619392752,21.949998115944723,silty,38.25,38.25,38.25,9700.0
1998,Kharif     ,Bajra,302400.0,20.98883454210068,2.077557189579517,1014.9402414631865,20.615411701644906,clay,0.0,26.832,0.0,243900.0
1998,Kharif     ,Castor seed,400.0,20.831844556938787,1.9950488551064227,1014.6548889625296,21.513582463249502,silt,10.24,26.624,26.624,100.0
1998,Kharif     ,Cotton(lint),12100.0,21.72103636996391,2.028014560803641,1013.7130740795774,20.73272954327136,chalky,41.496,110.656,55.328,19900.0
1998,Kharif     ,Groundnut,7100.0,20.124897203059213,2.07020757986379,1014.8566435037776,21.395917519325348,loamy,7.84,7.84,0.0,6200.0
1998,Kharif     ,Jowar,300.0,21.30744347279529,2.060792121726607,1015.437764129079,21.606701104082955,chalky,7.504,18.76,7.504,500.0
